Time : 3902, Temp : 27.30, Hum : 41.30
Time : 3932, Temp : 27.30, Hum : 41.30
Time : 3962, Temp : 27.30, Hum : 41.40
Time : 3992, Temp : 27.30, Hum : 41.50
Time : 4022, Temp : 27.20, Hum : 41.60
Time : 4052, Temp : 27.20, Hum : 41.60
Time : 4082, Temp : 27.30, Hum : 41.50
Time : 4112, Temp : 27.20, Hum : 41.50
Time : 4142, Temp : 27.20, Hum : 41.50
Time : 4172, Temp : 27.30, Hum : 41.50
Time : 4202, Temp : 27.20, Hum : 41.20
Time : 4232, Temp : 27.30, Hum : 41.00
Time : 4262, Temp : 27.30, Hum : 41.00
Time : 4292, Temp : 27.20, Hum : 41.00
Time : 4322, Temp : 27.30, Hum : 41.10
Time : 4352, Temp : 27.20, Hum : 40.70
Time : 4382, Temp : 27.20, Hum : 40.80
Time : 4412, Temp : 27.30, Hum : 40.60
Time : 4442, Temp : 27.20, Hum : 40.40
Time : 4472, Temp : 27.20, Hum : 40.70
Time : 4502, Temp : 27.20, Hum : 40.60
Time : 4532, Temp : 27.20, Hum : 40.60
Time : 4562, Temp : 27.20, Hum : 40.50
Time : 4592, Temp : 27.20, Hum : 40.30
Time : 4622, Temp : 27.20, Hum : 40.30
Time : 4652, Temp : 27.20, Hum : 40.20
Time : 4682, Temp : 27.20, Hum : 40.30
Time : 4712, Temp : 27.20, Hum : 40.10
Time : 4742, Temp : 27.30, Hum : 40.10
Time : 4772, Temp : 27.20, Hum : 39.80
Time : 4802, Temp : 27.20, Hum : 39.90
Time : 4832, Temp : 27.30, Hum : 39.90
Time : 4862, Temp : 27.30, Hum : 39.90
Time : 4892, Temp : 27.30, Hum : 39.80
Time : 4922, Temp : 27.30, Hum : 40.00
Time : 4952, Temp : 27.30, Hum : 39.70
Time : 4982, Temp : 27.30, Hum : 39.70
Time : 5012, Temp : 27.30, Hum : 39.70
Time : 5042, Temp : 27.30, Hum : 39.80
Time : 5072, Temp : 27.30, Hum : 39.60
Time : 5102, Temp : 27.30, Hum : 39.60
Time : 5132, Temp : 27.30, Hum : 39.60
Time : 5162, Temp : 27.30, Hum : 39.70
Time : 5192, Temp : 27.30, Hum : 39.80
Time : 5222, Temp : 27.20, Hum : 39.80
Time : 5252, Temp : 27.20, Hum : 39.90
Time : 5282, Temp : 27.20, Hum : 40.00
Time : 5312, Temp : 27.10, Hum : 40.10
Time : 5342, Temp : 27.20, Hum : 40.00
Time : 5372, Temp : 27.20, Hum : 39.90
Time : 5402, Temp : 27.20, Hum : 39.70
Time : 5432, Temp : 27.20, Hum : 39.70
Time : 5462, Temp : 27.20, Hum : 39.80
Time : 5492, Temp : 27.20, Hum : 39.90
Time : 5522, Temp : 27.20, Hum : 39.80
Time : 5553, Temp : 27.20, Hum : 39.80
Time : 5583, Temp : 27.20, Hum : 39.70
Time : 5613, Temp : 27.20, Hum : 39.60
Time : 5643, Temp : 27.20, Hum : 39.70
Time : 5673, Temp : 27.20, Hum : 39.70
Time : 5703, Temp : 27.20, Hum : 39.70
Time : 5733, Temp : 27.20, Hum : 39.80
Time : 5763, Temp : 27.20, Hum : 39.80
Time : 5793, Temp : 27.20, Hum : 39.60
Time : 5823, Temp : 27.20, Hum : 39.50
Time : 5853, Temp : 27.30, Hum : 39.50
Time : 5883, Temp : 27.30, Hum : 39.50
Time : 5913, Temp : 27.30, Hum : 39.60
Time : 5943, Temp : 27.30, Hum : 39.70
Time : 5973, Temp : 27.30, Hum : 39.70
Time : 6003, Temp : 27.30, Hum : 39.80
Time : 6033, Temp : 27.30, Hum : 39.70
Time : 6063, Temp : 27.30, Hum : 39.90
Time : 6093, Temp : 27.30, Hum : 39.70
Time : 6123, Temp : 27.40, Hum : 39.90
Time : 6153, Temp : 27.40, Hum : 40.00
Time : 6183, Temp : 27.40, Hum : 40.10
Time : 6213, Temp : 27.40, Hum : 40.10
Time : 6243, Temp : 27.40, Hum : 40.10
Time : 6273, Temp : 27.40, Hum : 40.20
Time : 6303, Temp : 27.40, Hum : 40.40
Time : 6333, Temp : 27.40, Hum : 40.30
Time : 6363, Temp : 27.40, Hum : 40.40
Time : 6393, Temp : 27.40, Hum : 40.30
Time : 6423, Temp : 27.40, Hum : 40.50
Time : 6453, Temp : 27.40, Hum : 40.50
Time : 6483, Temp : 27.40, Hum : 40.40
Time : 6513, Temp : 27.40, Hum : 40.40
Time : 6543, Temp : 27.40, Hum : 40.20
Time : 6573, Temp : 27.40, Hum : 40.10
Time : 6603, Temp : 27.40, Hum : 40.00
Time : 6633, Temp : 27.40, Hum : 40.00
Time : 6663, Temp : 27.40, Hum : 39.70
Time : 6693, Temp : 27.40, Hum : 39.60
Time : 6723, Temp : 27.40, Hum : 39.70
Time : 6753, Temp : 27.40, Hum : 39.70
Time : 6783, Temp : 27.40, Hum : 39.80
Time : 6813, Temp : 27.40, Hum : 39.80
Time : 6843, Temp : 27.40, Hum : 39.80
Time : 6873, Temp : 27.40, Hum : 39.90
Time : 6903, Temp : 27.40, Hum : 39.90
Time : 6933, Temp : 27.40, Hum : 40.00
Time : 6963, Temp : 27.40, Hum : 40.00
Time : 6993, Temp : 27.30, Hum : 39.90
Time : 7023, Temp : 27.30, Hum : 39.90
Time : 7053, Temp : 27.40, Hum : 40.00
Time : 7083, Temp : 27.30, Hum : 40.10
Time : 7113, Temp : 27.30, Hum : 40.10
Time : 7143, Temp : 27.30, Hum : 40.20
Time : 7173, Temp : 27.30, Hum : 40.30
Time : 7203, Temp : 27.30, Hum : 40.20
Time : 7233, Temp : 27.30, Hum : 40.20
Time : 7263, Temp : 27.30, Hum : 40.20
Time : 7293, Temp : 27.30, Hum : 40.20
Time : 7323, Temp : 27.30, Hum : 40.20
Time : 7353, Temp : 27.30, Hum : 40.20
Time : 7383, Temp : 27.30, Hum : 40.20
Time : 7413, Temp : 27.30, Hum : 40.30
Time : 7443, Temp : 27.30, Hum : 40.20
Time : 7473, Temp : 27.30, Hum : 40.20
Time : 7503, Temp : 27.30, Hum : 40.20
Time : 7533, Temp : 27.30, Hum : 40.10
Time : 7563, Temp : 27.30, Hum : 40.00
Time : 7593, Temp : 27.30, Hum : 40.00
Time : 7624, Temp : 27.30, Hum : 40.00
Time : 7654, Temp : 27.30, Hum : 40.10
Time : 7684, Temp : 27.30, Hum : 40.30
Time : 7714, Temp : 27.30, Hum : 40.30
Time : 7744, Temp : 27.30, Hum : 40.20
Time : 7774, Temp : 27.30, Hum : 40.30
Time : 7804, Temp : 27.30, Hum : 40.40
Time : 7834, Temp : 27.30, Hum : 40.50
Time : 7864, Temp : 27.30, Hum : 40.50
Time : 7894, Temp : 27.30, Hum : 40.50
Time : 7924, Temp : 27.30, Hum : 40.60
Time : 7954, Temp : 27.30, Hum : 40.60
Time : 7984, Temp : 27.30, Hum : 40.60
Time : 8014, Temp : 27.30, Hum : 40.70
Time : 8044, Temp : 27.30, Hum : 40.70
Time : 8074, Temp : 27.30, Hum : 40.70
Time : 8104, Temp : 27.30, Hum : 40.70
Time : 8134, Temp : 27.30, Hum : 40.60
Time : 8164, Temp : 27.30, Hum : 41.50
